target,n_test_pos,pos_rate,roc_auc,pr_auc
hypertension_crisis,5872,0.23694617,0.9185695507329281,0.7302981771150447
afib_aflutter,1834,0.07400533,0.9437975816168896,0.6618950545464606
chronic_ischemic_disease,1980,0.079896696,0.9020270018844705,0.4215012297527928
heart_failure_acute,993,0.040069405,0.934852619392962,0.37181530655401
ami_stemi,55,0.0022193529,0.9180807141255235,0.22322730100942703
brady_heart_block_conduction,380,0.01533371,0.9155669940772759,0.2058807156717668
stroke_tia,359,0.01448632,0.885498132553941,0.1959115454451787
heart_failure_chronic,700,0.028246308,0.9135155184073462,0.19186642599494297
valvular_endocardial_disease,622,0.025098862,0.9067044662060009,0.19125195948974275
ventricular_arrhythmias_arrest,174,0.007021225,0.9357523672331585,0.15997697201717948
cardiomyopathy_myocarditis,280,0.011298523,0.9247919994869224,0.1525254724139532
ami_nstemi,304,0.012266968,0.9007378671933122,0.14534829338897481
supraventricular_tachyarrhythmias,164,0.0066177063,0.8786361704404273,0.11536675583494824
aortic_peripheral_vascular,408,0.016463563,0.8757934966059945,0.08685134540152223
pe_dvt_venous_thromboembolism,327,0.013195061,0.8351046076642051,0.0619599927330234
unstable_angina_ac_ischemia,106,0.004277298,0.8994665200622712,0.04551768737611537
pericardial_disease_tamponade,108,0.004358002,0.8495323462394062,0.030481839851841767
