target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9267409115133514,0.7546163475828077
label_afib_aflutter,1846,0.07258001100888574,0.9432142466072049,0.6518523601118327
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9215912960489199,0.4298280679416058
label_heart_failure_acute,999,0.03927813163481953,0.9249002634719844,0.30780908063018997
label_valvular_endocardial_disease,625,0.02457340567743965,0.9246857511386997,0.19747534021046806
label_heart_failure_chronic,702,0.027600849256900213,0.9229431240793039,0.19346907903360083
label_brady_heart_block_conduction,382,0.015019265550051113,0.9197790062638298,0.14611102016632535
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9269322128267525,0.1310377488573348
label_stroke_tia,368,0.014468821262876465,0.8913385510079477,0.11205133256021046
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9194812988373895,0.10045976695923736
label_ami_nstemi,306,0.012031139419674451,0.9102224714039281,0.09605993212603195
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8871498788691884,0.09355924674421981
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8927876864233811,0.08202541829035362
label_ami_stemi,57,0.0022410945977824957,0.9155638238520998,0.07083289158831312
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8602621785044728,0.06211460360589268
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9117513023115591,0.03173854744791776
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8386433499755777,0.02283587547040828
