target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9276560946960607,0.7572852963289655
label_afib_aflutter,1846,0.07258001100888574,0.9429051874807892,0.6198717949316856
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9222364705163509,0.4285146814041976
label_heart_failure_acute,999,0.03927813163481953,0.9259832986250011,0.3014095715854012
label_valvular_endocardial_disease,625,0.02457340567743965,0.9243906324317789,0.19228911463684947
label_heart_failure_chronic,702,0.027600849256900213,0.9240659873847646,0.19136375968660208
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9326451273179257,0.15109359199348418
label_brady_heart_block_conduction,382,0.015019265550051113,0.9213290805386577,0.14288107560387547
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9263055869364282,0.11623215620001559
label_stroke_tia,368,0.014468821262876465,0.8962704221724214,0.10702417510153772
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8843239356414142,0.08748674644639812
label_ami_nstemi,306,0.012031139419674451,0.9093578134851521,0.08648065492447501
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8939658725651233,0.08050082324322166
label_ami_stemi,57,0.0022410945977824957,0.917315651899185,0.07118301487777355
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.865815964839359,0.0668643254358073
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9148225324899844,0.033653276097836644
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8582005463569863,0.0296835356695578
