target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9367914179253332,0.7855893294000704
label_afib_aflutter,1846,0.07258001100888574,0.9521789477948553,0.7010680658380121
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9323074633075257,0.4963093949753603
label_heart_failure_acute,999,0.03927813163481953,0.9395752617770216,0.40038750011744384
label_brady_heart_block_conduction,382,0.015019265550051113,0.9353248907194501,0.24321446119405563
label_heart_failure_chronic,702,0.027600849256900213,0.9297677945179159,0.2212494917061325
label_valvular_endocardial_disease,625,0.02457340567743965,0.9272444032407594,0.20023721064280858
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9282587587930033,0.17666613434633563
label_stroke_tia,368,0.014468821262876465,0.8998904847723748,0.15061333169224403
label_ami_stemi,57,0.0022410945977824957,0.901278198451561,0.13994796647094512
label_ami_nstemi,306,0.012031139419674451,0.9223259265501806,0.1237524211301935
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9292409435962422,0.12169654138656208
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8871625469321571,0.10173360178744492
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8944685730976649,0.0836221468921407
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8633201837706975,0.06910155476820892
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8803363400516525,0.05337883423571997
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8988077073375574,0.028242244676794072
