target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.8901867650705851,0.645467001220654
label_afib_aflutter,1846,0.07258001100888574,0.9334923247235727,0.5734089738206672
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9049350590448775,0.37817117433698744
label_heart_failure_acute,999,0.03927813163481953,0.9168498557899007,0.2797650637393466
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.8928807810014789,0.17741525459546648
label_brady_heart_block_conduction,382,0.015019265550051113,0.9096472008379639,0.17138680764709238
label_valvular_endocardial_disease,625,0.02457340567743965,0.9074441049619091,0.17105999814410247
label_heart_failure_chronic,702,0.027600849256900213,0.9033661938602905,0.16039779648060962
label_stroke_tia,368,0.014468821262876465,0.8442252670341602,0.10040951793548777
label_ami_nstemi,306,0.012031139419674451,0.8981244784871394,0.09659336108674846
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.8873580680368262,0.07117339738222521
label_ami_stemi,57,0.0022410945977824957,0.8203622702972508,0.05531816557362604
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8328294173739722,0.05495172410596292
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.789780854575463,0.048372410982856315
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.7586501891559545,0.03186210797823287
label_pericardial_disease_tamponade,108,0.004246284501061571,0.751471551706488,0.01864242332280163
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8305830761674677,0.016847167246095227
