target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9365652679330668,0.7880365494547762
label_afib_aflutter,1846,0.07258001100888574,0.9514406507266029,0.7023251584065321
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9317285183419891,0.49646882885903565
label_heart_failure_acute,999,0.03927813163481953,0.9378490420029196,0.3728626910905245
label_brady_heart_block_conduction,382,0.015019265550051113,0.9308612954165284,0.2389220181584117
label_heart_failure_chronic,702,0.027600849256900213,0.927181810662726,0.21216147438021202
label_valvular_endocardial_disease,625,0.02457340567743965,0.9242460397436414,0.20165302732112556
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9196544742546539,0.18693990303029712
label_stroke_tia,368,0.014468821262876465,0.8975950230521856,0.14934930481033953
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9199824015680186,0.11608150200045841
label_ami_nstemi,306,0.012031139419674451,0.9113469753814717,0.10601506101765117
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8730450162633798,0.09729320463797977
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8878763897311798,0.08517015187699715
label_ami_stemi,57,0.0022410945977824957,0.8786662048587994,0.072259567771798
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8593589960191335,0.06284821640958947
label_pericardial_disease_tamponade,108,0.004246284501061571,0.860153962696804,0.0420071812257087
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.868302786468875,0.018142821880441386
