year,cause,deaths,deaths_lower,deaths_upper
1980,Cardiovascular diseases,12116561.690830473,11028346.853724385,13048659.658636544
1980,Chronic respiratory diseases,1814284.394842856,1421105.6523936114,2128265.942772173
1980,Diabetes and kidney diseases,1050153.0299549396,919226.9172050518,1185896.5428510967
1980,Diarrheal diseases,3980057.8278847374,3332512.035729784,4870753.741493202
1980,Digestive diseases,1625710.2329889222,1410327.5399487074,1888199.920287419
1980,Lower respiratory infections,3178213.2278480977,2770073.8375791293,3715304.185026179
1980,Neonatal disorders,3400099.9510319303,3161964.759499208,3639679.066678661
1980,Total cancers,4778620.553689183,4525408.852813329,5123498.452049806
1980,"Tracheal, bronchus, and lung cancer",800327.8086695975,747281.9364838519,899006.5852222813
1980,Tuberculosis,1923777.4949774405,1373489.5641532408,2482202.570455136
1981,Cardiovascular diseases,12106953.586233083,11034011.427437907,12982491.107948702
1981,Chronic respiratory diseases,1844765.9210881211,1453742.2846846883,2170080.5332522127
1981,Diabetes and kidney diseases,1061733.1736550136,937044.1601003184,1193582.7929984927
1981,Diarrheal diseases,3891543.4924084335,3272430.97974758,4764926.205434724
1981,Digestive diseases,1637996.3304144733,1415227.6392188405,1903283.6889643783
1981,Lower respiratory infections,3135488.042738374,2730493.0854729903,3672886.671157295
1981,Neonatal disorders,3367134.426195008,3146399.391887996,3608623.086590605
1981,Total cancers,4841160.895361575,4594982.487034862,5174893.045969302
1981,"Tracheal, bronchus, and lung cancer",817702.1774124557,765160.9042036707,909774.2096319738
1981,Tuberculosis,1907461.5054914355,1382327.9718513708,2464601.9432153017
1982,Cardiovascular diseases,12128839.811705396,11069881.472598294,13043394.137704782
1982,Chronic respiratory diseases,1879451.3985767108,1480291.9997035307,2200353.9760520714
1982,Diabetes and kidney diseases,1076549.6610069934,946592.8089694368,1211569.4935237877
1982,Diarrheal diseases,3836169.887020473,3258405.3734658253,4636425.634237549
1982,Digestive diseases,1649188.1428881283,1421152.5178865052,1913942.3791023905
1982,Lower respiratory infections,3102088.072233831,2698166.4660174423,3537275.978095268
1982,Neonatal disorders,3353813.4782038536,3133790.145004998,3585392.8220129134
1982,Total cancers,4913493.576574492,4674089.354091947,5254024.8808645625
1982,"Tracheal, bronchus, and lung cancer",837351.892184678,786066.8572828129,932923.1260058378
1982,Tuberculosis,1901264.324224342,1383146.0311081333,2449632.853222016
1983,Cardiovascular diseases,12319654.30822439,11237991.187800135,13243432.860258495
1983,Chronic respiratory diseases,1930899.379859976,1521466.5027591272,2254340.5327671524
1983,Diabetes and kidney diseases,1102529.7465247945,970420.4201734996,1241084.1999010902
1983,Diarrheal diseases,3795823.397919471,3184932.458185163,4590646.888738115
1983,Digestive diseases,1677040.271660311,1443263.3206741374,1956874.3128897608
1983,Lower respiratory infections,3111207.337215669,2703417.626579151,3550343.2694883877
1983,Neonatal disorders,3356501.6973603857,3154803.274083786,3576426.8985536927
1983,Total cancers,5024118.940975263,4768942.386495649,5343197.278452801
1983,"Tracheal, bronchus, and lung cancer",863546.9418220072,811237.9853597919,959017.7257436416
1983,Tuberculosis,1903650.474357961,1368723.227390359,2471093.859854721
1984,Cardiovascular diseases,12417935.629901042,11366051.992159236,13319756.231630445
