model_type,mean_roc_auc,mean_pr_auc,accuracy,precision,recall,f1
baseline,0.9074,0.2443,0.9727,0.6952,0.3865,0.4968
baseline_bce_weighted,0.8593,0.1979,0.9621,0.4628,0.549,0.5022
baseline_focal,0.9044,0.2499,0.9699,0.8131,0.1744,0.2872
large,0.9073,0.2519,0.9725,0.7094,0.3544,0.4726
medium,0.9069,0.2515,0.9728,0.7023,0.3805,0.4936
nogate_bce,0.9071,0.2466,0.9727,0.6988,0.3815,0.4935
nogate_bce_weighted,0.8673,0.2029,0.9625,0.4664,0.5423,0.5015
nogate_focal,0.907,0.2506,0.9696,0.8318,0.1578,0.2653
baseline_bce_weighted_weighted,0.8494,0.1924,0.4717,0.0614,0.9915,0.1156
baseline_focal_weighted,0.8633,0.1999,0.9702,0.6275,0.3546,0.4531
nogate_bce_weighted_weighted,0.8452,0.1819,0.5272,0.0678,0.986,0.1268
nogate_focal_weighted,0.8647,0.2065,0.9709,0.6632,0.3355,0.4456
xgboost_baseline,0.9162,0.2412,0.9742,0.7279,0.391,0.5087
xgboost_weighted,0.9062,0.2326,0.8573,0.177,0.8717,0.2943
xgboost_smote,0.8917,0.2069,0.9706,0.7403,0.214,0.3321
xgboost_embedding,0.921,0.2643,0.9745,0.7319,0.4083,0.5242
mlp_embedding,0.922,0.259,0.975,0.731,0.407,0.523
mlp_baseline,0.9126,0.2188,0.9737,0.7571,0.3382,0.4675
