model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
baseline,hypertension_crisis,5872,0.2369,0.9249,0.7491,0.6916,0.7246,0.7078,0.8582
baseline,afib_aflutter,1834,0.074,0.9477,0.6963,0.8187,0.4531,0.5834,0.9521
baseline,chronic_ischemic_disease,1980,0.0799,0.9075,0.437,0.5693,0.1929,0.2882,0.9239
baseline,heart_failure_acute,993,0.0401,0.939,0.4242,0.6172,0.1803,0.279,0.9627
baseline,brady_heart_block_conduction,380,0.0153,0.9173,0.2276,0.9333,0.0368,0.0709,0.9852
baseline,stroke_tia,359,0.0145,0.8896,0.2206,1.0,0.0056,0.0111,0.9856
baseline,valvular_endocardial_disease,622,0.0251,0.9081,0.2011,0.0,0.0,0.0,0.9749
baseline,heart_failure_chronic,700,0.0282,0.9171,0.1966,0.0,0.0,0.0,0.9718
baseline,ventricular_arrhythmias_arrest,174,0.007,0.9345,0.1795,0.0,0.0,0.0,0.993
baseline,cardiomyopathy_myocarditis,280,0.0113,0.9251,0.1643,0.0,0.0,0.0,0.9887
baseline,ami_nstemi,304,0.0123,0.9031,0.141,0.0,0.0,0.0,0.9877
baseline,ami_stemi,55,0.0022,0.9499,0.1389,0.0,0.0,0.0,0.9978
baseline,supraventricular_tachyarrhythmias,164,0.0066,0.8854,0.1309,0.6,0.0366,0.069,0.9935
baseline,aortic_peripheral_vascular,408,0.0165,0.8754,0.0864,0.0,0.0,0.0,0.9835
baseline,pe_dvt_venous_thromboembolism,327,0.0132,0.8404,0.073,0.0,0.0,0.0,0.9868
baseline,unstable_angina_ac_ischemia,106,0.0043,0.9045,0.0499,0.0,0.0,0.0,0.9957
baseline,pericardial_disease_tamponade,108,0.0044,0.8568,0.0362,0.0,0.0,0.0,0.9956
baseline_bce_weighted,hypertension_crisis,5872,0.2369,0.8929,0.6706,0.5087,0.9147,0.6538,0.7705
baseline_bce_weighted,afib_aflutter,1834,0.074,0.9276,0.6071,0.5925,0.6041,0.5983,0.94
