target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9249361128362227,0.7491491105689441,0.6916449934980494,0.724625340599455,0.7077511643379907,0.8582035348236623
afib_aflutter,1834,0.07400533,0.9476675990609086,0.6963007276502485,0.81871921182266,0.4531079607415485,0.5833625833625834,0.9521023323379872
chronic_ischemic_disease,1980,0.079896696,0.9074866173355342,0.43700618375433764,0.5692995529061102,0.19292929292929292,0.2881931346661637,0.9238560245339359
heart_failure_acute,993,0.040069405,0.939030695214562,0.42419412729459094,0.6172413793103448,0.18026183282980865,0.2790335151987529,0.9626745218303607
brady_heart_block_conduction,380,0.01533371,0.9172937722964899,0.2276093964428077,0.9333333333333333,0.03684210526315789,0.07088607594936709,0.9851908643370189
stroke_tia,359,0.01448632,0.8896324381202843,0.220649899654664,1.0,0.005571030640668524,0.0110803324099723,0.9855943830199339
valvular_endocardial_disease,622,0.025098862,0.9081229304635762,0.2011194316568739,0.0,0.0,0.0,0.9749011379226858
heart_failure_chronic,700,0.028246308,0.9170888749154674,0.19663482696090195,0.0,0.0,0.0,0.9717536921959486
ventricular_arrhythmias_arrest,174,0.007021225,0.9344554803222576,0.17946876720493943,0.0,0.0,0.0,0.9929787749172787
cardiomyopathy_myocarditis,280,0.011298523,0.9250733176300476,0.1643171576416404,0.0,0.0,0.0,0.9887014768783795
ami_nstemi,304,0.012266968,0.9031294481403279,0.1409916932057509,0.0,0.0,0.0,0.9877330320393835
ami_stemi,55,0.0022193529,0.9499273889050246,0.13885340347507846,0.0,0.0,0.0,0.9977806472439674
supraventricular_tachyarrhythmias,164,0.0066177063,0.8853664481075716,0.1308969262667029,0.6,0.036585365853658534,0.06896551724137931,0.9934629973367767
aortic_peripheral_vascular,408,0.016463563,0.8753723129113793,0.0864436555065496,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.8404040498775447,0.07296565273370934,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.9044927926302235,0.04992729299122016,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.8567839441127112,0.03623566814749035,0.0,0.0,0.0,0.9956419982245178
