target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.873280765262674,0.6192454272238572,0.3844689510305895,0.9974455040871935,0.5550080545816356,0.6210152530062142
afib_aflutter,1834,0.07400533,0.9164272874104064,0.5653090585860834,0.1362050659790687,0.9792802617230099,0.23914780292942742,0.5388588491647164
chronic_ischemic_disease,1980,0.079896696,0.8746641487234418,0.35105383718208333,0.13449853212261897,0.9949494949494949,0.2369639742587358,0.4880558469857154
heart_failure_acute,993,0.040069405,0.9128618899703024,0.3214968657523605,0.07702564907051533,0.9889224572004028,0.14291951680978024,0.5247356952626907
ami_stemi,55,0.0022193529,0.7357044379165946,0.2448946030527535,0.0074103745243340674,0.6727272727272727,0.014659270998415214,0.7992898071180695
valvular_endocardial_disease,622,0.025098862,0.8856157236856115,0.16664136724136558,0.041276793416948704,1.0,0.0792811165636352,0.4170365587926721
brady_heart_block_conduction,380,0.01533371,0.8964693359905789,0.16510446586599453,0.02832754192476205,0.9868421052631579,0.05507416654427963,0.4807521588249536
heart_failure_chronic,700,0.028246308,0.8877271702635045,0.16370502866838293,0.04676523717133873,0.9985714285714286,0.08934620054962612,0.4250262287143895
ventricular_arrhythmias_arrest,174,0.007021225,0.8904542770877241,0.13799652245583383,0.011429339787548743,0.9770114942528736,0.022594364699627858,0.4065047211685901
stroke_tia,359,0.01448632,0.8421654230902718,0.129388217121968,0.02307939569270331,1.0,0.045117506597964055,0.3868130094423372
cardiomyopathy_myocarditis,280,0.011298523,0.8967885274671455,0.12101909368816874,0.01965619275750317,0.9964285714285714,0.03855188614066602,0.4384634008554596
ami_nstemi,304,0.012266968,0.8790228792987044,0.10438671385320598,0.01994358065997507,1.0,0.03910722325850646,0.39718343959325314
aortic_peripheral_vascular,408,0.016463563,0.8364688063622923,0.06308984103264853,0.02641118591403418,1.0,0.05146316851664985,0.3931079008958115
supraventricular_tachyarrhythmias,164,0.0066177063,0.7642812665331138,0.046308250565567956,0.00958316185548827,0.9939024390243902,0.018983287719093928,0.32019207489306756
pe_dvt_venous_thromboembolism,327,0.013195061,0.7480759455206061,0.031250653460868305,0.020527674579686416,0.9969418960244648,0.04022704837117473,0.3722863368573965
pericardial_disease_tamponade,108,0.004358002,0.7450292555666633,0.02090801366920813,0.007865757734661772,0.8333333333333334,0.015584415584415584,0.5411992575256235
unstable_angina_ac_ischemia,106,0.004277298,0.8547050911893612,0.01965681086497769,0.00782543265613243,0.9811320754716981,0.015527022991937893,0.467839560971673
