target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9241641309328427,0.74969775006232,0.7987421383647799,0.3244209809264305,0.4614266682814582,0.8205552417076911
afib_aflutter,1834,0.07400533,0.9454530478941627,0.6879934993852939,0.8614457831325302,0.311886586695747,0.45796637309847876,0.9453635703333064
chronic_ischemic_disease,1980,0.079896696,0.9055950811509532,0.4455191108547607,0.8260869565217391,0.02878787878787879,0.055636896046852125,0.9219191348559438
heart_failure_acute,993,0.040069405,0.937432005966182,0.415218968967764,0.6363636363636364,0.007049345417925478,0.013944223107569721,0.9600516503914132
brady_heart_block_conduction,380,0.01533371,0.9144984341231738,0.23661559688090109,1.0,0.02631578947368421,0.05128205128205128,0.9850698087321443
stroke_tia,359,0.01448632,0.8870842669993364,0.2192412427248887,1.0,0.005571030640668524,0.0110803324099723,0.9855943830199339
heart_failure_chronic,700,0.028246308,0.9136189447957573,0.20265707263287955,0.0,0.0,0.0,0.9717536921959486
ventricular_arrhythmias_arrest,174,0.007021225,0.9326155964605474,0.1998576960730592,0.0,0.0,0.0,0.9929787749172787
ami_stemi,55,0.0022193529,0.9194174935752967,0.1895146995113342,0.0,0.0,0.0,0.9977806472439674
valvular_endocardial_disease,622,0.025098862,0.9078664676540106,0.1879795031289308,0.0,0.0,0.0,0.9749011379226858
cardiomyopathy_myocarditis,280,0.011298523,0.9244994577702113,0.17227754534733283,0.0,0.0,0.0,0.9887014768783795
ami_nstemi,304,0.012266968,0.9049166329808507,0.14882444122829702,0.0,0.0,0.0,0.9877330320393835
supraventricular_tachyarrhythmias,164,0.0066177063,0.880339638456097,0.13429488193740002,1.0,0.03048780487804878,0.05917159763313609,0.9935840529416512
aortic_peripheral_vascular,408,0.016463563,0.87553345577174,0.09132745426492454,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.843063243540998,0.07037522679562853,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.8935284303440513,0.06235232779035417,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.865855383834836,0.03378168877312529,0.0,0.0,0.0,0.9956419982245178
