target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.8928563632119448,0.6688994080465684,0.6185678859268444,0.6796662125340599,0.6476793248945147,0.8247921878782988
afib_aflutter,1834,0.07400533,0.923092824343844,0.6004166638779622,0.7120253164556962,0.49073064340239914,0.5810200129115558,0.9476232749576305
chronic_ischemic_disease,1980,0.079896696,0.875695059090156,0.3668169757580519,0.5617647058823529,0.09646464646464646,0.1646551724137931,0.9217980792510694
heart_failure_acute,993,0.040069405,0.9192644361554464,0.3406740615532831,0.536,0.06747230614300101,0.11985688729874776,0.9602937616011621
brady_heart_block_conduction,380,0.01533371,0.8976393220572947,0.18939236588013592,0.5757575757575758,0.05,0.09200968523002422,0.9848680493906868
ami_stemi,55,0.0022193529,0.9078188362371644,0.16715327359010973,0.5333333333333333,0.14545454545454545,0.22857142857142856,0.9978209991122589
valvular_endocardial_disease,622,0.025098862,0.8758203948489173,0.15923432168003476,0.0,0.0,0.0,0.9749011379226858
stroke_tia,359,0.01448632,0.8464677856858295,0.14858451296841585,0.6153846153846154,0.022284122562674095,0.043010752688172046,0.9856347348882253
heart_failure_chronic,700,0.028246308,0.8901287565104941,0.14673691465818767,0.0,0.0,0.0,0.9717536921959486
cardiomyopathy_myocarditis,280,0.011298523,0.891800086290332,0.13477665801717875,0.25,0.010714285714285714,0.02054794520547945,0.9884593656686305
ventricular_arrhythmias_arrest,174,0.007021225,0.8932848676442013,0.13404960241500205,0.375,0.017241379310344827,0.03296703296703297,0.9928980711806956
ami_nstemi,304,0.012266968,0.8650920697855432,0.11878600385103294,1.0,0.003289473684210526,0.006557377049180328,0.9877733839076749
supraventricular_tachyarrhythmias,164,0.0066177063,0.787785533686436,0.07579077863300028,0.5,0.04878048780487805,0.08888888888888889,0.9933822936001937
aortic_peripheral_vascular,408,0.016463563,0.8338448676426343,0.06156633397228825,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.7694425947427622,0.0397300299715253,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.8180295879886346,0.02425441203410706,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.7886589272258397,0.022236518872361735,0.125,0.009259259259259259,0.017241379310344827,0.9953998870147688
