target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9237731124918407,0.7452377038396918,0.7056005895357406,0.6522479564032697,0.6778761061946903,0.8531191994189331
afib_aflutter,1834,0.07400533,0.9476114410865665,0.6903341223075785,0.7863475177304965,0.4836423118865867,0.5989196488858879,0.9520619804696957
chronic_ischemic_disease,1980,0.079896696,0.9082193525466045,0.45458342576726407,0.6343283582089553,0.1717171717171717,0.2702702702702703,0.9259139698168025
heart_failure_acute,993,0.040069405,0.9419681517734148,0.418193850527944,0.6046511627906976,0.07854984894259819,0.13903743315508021,0.9610200952304092
ami_stemi,55,0.0022193529,0.9450082170023935,0.24798143519025617,0.6666666666666666,0.03636363636363636,0.06896551724137931,0.9978209991122589
brady_heart_block_conduction,380,0.01533371,0.915923036938301,0.22374131779323808,0.6666666666666666,0.05263157894736842,0.0975609756097561,0.9850698087321443
heart_failure_chronic,700,0.028246308,0.9163394710928138,0.20448575126873686,1.0,0.0014285714285714286,0.0028530670470756064,0.9717940440642402
stroke_tia,359,0.01448632,0.8886150857615492,0.2019559361750793,0.5483870967741935,0.04735376044568245,0.08717948717948718,0.9856347348882253
cardiomyopathy_myocarditis,280,0.011298523,0.9200849493335821,0.1834610690243063,1.0,0.007142857142857143,0.014184397163120567,0.9887821806149625
ventricular_arrhythmias_arrest,174,0.007021225,0.9339413264352869,0.18076101286401708,0.5,0.028735632183908046,0.05434782608695652,0.9929787749172787
valvular_endocardial_disease,622,0.025098862,0.9026623820830051,0.18009116309600354,0.0,0.0,0.0,0.9749011379226858
ami_nstemi,304,0.012266968,0.9099329526836127,0.15998122782219928,0.43478260869565216,0.03289473684210526,0.06116207951070336,0.9876119764345089
supraventricular_tachyarrhythmias,164,0.0066177063,0.8848297101664656,0.14984796516599155,1.0,0.03048780487804878,0.05917159763313609,0.9935840529416512
aortic_peripheral_vascular,408,0.016463563,0.8802283693488884,0.09064876714513002,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.8410892627474666,0.07699975600388828,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.8953249204023771,0.043079390691477454,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.8687518575558618,0.030635301296068257,0.0,0.0,0.0,0.9956419982245178
