target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.924087257401689,0.7459184706009631,0.7017482517482517,0.68358310626703,0.6925465838509317,0.8561859414090872
afib_aflutter,1834,0.07400533,0.9464441820861315,0.694187136075327,0.7782426778242678,0.5070883315158125,0.6140640475404424,0.9528286659672343
chronic_ischemic_disease,1980,0.079896696,0.908377565675171,0.44378843290653314,0.5816023738872403,0.19797979797979798,0.29540316503391106,0.9245420062948915
heart_failure_acute,993,0.040069405,0.940707149381498,0.42861321943165986,0.6090651558073654,0.21651560926485397,0.31946508172362553,0.9630376886449843
brady_heart_block_conduction,380,0.01533371,0.9172013510540551,0.22187380837356124,0.76,0.05,0.09382716049382717,0.9851908643370189
stroke_tia,359,0.01448632,0.8863447476390184,0.21149817851164204,0.6666666666666666,0.033426183844011144,0.0636604774535809,0.9857557904930998
heart_failure_chronic,700,0.028246308,0.9154241164117835,0.19434658480091127,0.0,0.0,0.0,0.9717536921959486
valvular_endocardial_disease,622,0.025098862,0.9057903765890846,0.18892879174145086,0.0,0.0,0.0,0.9749011379226858
cardiomyopathy_myocarditis,280,0.011298523,0.9234359877327798,0.18498525438300084,0.8,0.014285714285714285,0.028070175438596492,0.988822532483254
ventricular_arrhythmias_arrest,174,0.007021225,0.9377097252739042,0.17685808788075852,0.0,0.0,0.0,0.9929787749172787
ami_stemi,55,0.0022193529,0.9378713735813262,0.17432270236121616,0.0,0.0,0.0,0.9977806472439674
ami_nstemi,304,0.012266968,0.9091415599829707,0.1508823577195504,0.0,0.0,0.0,0.9877330320393835
supraventricular_tachyarrhythmias,164,0.0066177063,0.8879679056966051,0.130008969357284,0.5294117647058824,0.054878048780487805,0.09944751381215469,0.9934226454684852
aortic_peripheral_vascular,408,0.016463563,0.8781407020016507,0.08747063509578393,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.8424805718798242,0.06915311846988206,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.9014281694534755,0.056818960724635714,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.8584906439226775,0.03202110157276879,0.0,0.0,0.0,0.9956419982245178
