target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.892957773052333,0.6630771695304641,0.5123959031300852,0.9116144414168937,0.6560451008027453,0.7735049632797999
afib_aflutter,1834,0.07400533,0.9245636951894843,0.6076061923460698,0.6532051282051282,0.5556161395856052,0.6004714201532115,0.9452828665967234
chronic_ischemic_disease,1980,0.079896696,0.8692863309881554,0.3569322525042039,0.31515516721904185,0.5282828282828282,0.394791470088696,0.8705915583891534
heart_failure_acute,993,0.040069405,0.9210870858293141,0.3478660035248119,0.45933014354066987,0.29003021148036257,0.35555555555555557,0.957872649503672
ami_stemi,55,0.0022193529,0.9057011658216818,0.19189944399710263,0.19101123595505617,0.3090909090909091,0.2361111111111111,0.9955612944879348
brady_heart_block_conduction,380,0.01533371,0.903376017496409,0.18435897081542604,0.26582278481012656,0.16578947368421051,0.20421393841166938,0.9801872326688725
heart_failure_chronic,700,0.028246308,0.8985732971869923,0.16512006471799323,0.20833333333333334,0.007142857142857143,0.013812154696132596,0.9711887660398677
valvular_endocardial_disease,622,0.025098862,0.8844756819488511,0.16018580210391795,0.1891891891891892,0.011254019292604502,0.021244309559939303,0.9739730449519812
cardiomyopathy_myocarditis,280,0.011298523,0.9064822696689482,0.14779509713598796,0.2578616352201258,0.14642857142857144,0.1867881548974943,0.9855943830199339
ventricular_arrhythmias_arrest,174,0.007021225,0.8949834555251633,0.13465524272642188,0.27380952380952384,0.13218390804597702,0.17829457364341086,0.9914454039222016
ami_nstemi,304,0.012266968,0.8692639147505171,0.12958438014362236,0.3939393939393939,0.04276315789473684,0.0771513353115727,0.9874505689613429
stroke_tia,359,0.01448632,0.8269629625574413,0.126129638774039,0.236,0.16434540389972144,0.19376026272577998,0.9801872326688725
supraventricular_tachyarrhythmias,164,0.0066177063,0.8241515726149219,0.08684311853416996,0.23636363636363636,0.07926829268292683,0.1187214611872146,0.9922120894197402
aortic_peripheral_vascular,408,0.016463563,0.828161627948135,0.058172542217749576,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.7546654061601006,0.04392342308822189,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.8576768122413652,0.027189758204148436,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.7816989093332612,0.01772797958113733,0.04580152671755725,0.05555555555555555,0.0502092050209205,0.9908401258978291
