target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.8669108665095093,0.5997169898971276,0.3854399579113508,0.9981267029972752,0.5561248695322136,0.6224679202647082
afib_aflutter,1834,0.07400533,0.9191390986097437,0.574064381345461,0.13690928430329738,0.9825517993456925,0.2403307548679648,0.5403115164232104
chronic_ischemic_disease,1980,0.079896696,0.8678103063792915,0.3495010507130468,0.13457994949839625,0.9959595959595959,0.2371189803402874,0.48797514324913244
heart_failure_acute,993,0.040069405,0.9147076955562281,0.3164811291435554,0.08186249789880652,0.9808660624370594,0.15111317973780156,0.5584295052860947
ami_stemi,55,0.0022193529,0.7653474119199843,0.19201014773406605,0.018890200708382526,0.5818181818181818,0.03659233847913093,0.9320071019288193
heart_failure_chronic,700,0.028246308,0.8869670886376309,0.16019935123205054,0.049013411979495825,0.9971428571428571,0.09343417441938291,0.4534339439916068
valvular_endocardial_disease,622,0.025098862,0.8827807915078469,0.15668102059869093,0.04064296915838996,1.0,0.07811126459876931,0.40755386974416913
brady_heart_block_conduction,380,0.01533371,0.8815853640124407,0.13143182967594896,0.029725547683036077,0.9605263157894737,0.05766648234457698,0.5186425631506739
cardiomyopathy_myocarditis,280,0.011298523,0.8866152325757664,0.1266773615612116,0.023143259415698697,0.9392857142857143,0.045173479903813124,0.551367928335082
ventricular_arrhythmias_arrest,174,0.007021225,0.8511926782057606,0.10827168984532304,0.015017924619707393,0.8908045977011494,0.029537875178656504,0.5890162214510531
ami_nstemi,304,0.012266968,0.8661951010789495,0.10559812170000744,0.020147127046192592,1.0,0.03949847333203404,0.40339762731014445
stroke_tia,359,0.01448632,0.8174682821583427,0.09831592835494767,0.024287222808870117,0.9610027855153204,0.04737709420488877,0.4401581793237027
aortic_peripheral_vascular,408,0.016463563,0.8212524958288887,0.055991709047963086,0.0265555844832075,1.0,0.05173725589652549,0.3964974578322976
supraventricular_tachyarrhythmias,164,0.0066177063,0.7968398593929882,0.04199194084394954,0.010089399744572158,0.9634146341463414,0.019969666329625886,0.3742232265353886
pe_dvt_venous_thromboembolism,327,0.013195061,0.768752755013421,0.037524646228576104,0.02116988014590933,0.9938837920489296,0.041456725556476816,0.393551771447018
pericardial_disease_tamponade,108,0.004358002,0.7558513009645781,0.019786096939750572,0.00968842893317186,0.8148148148148148,0.01914916766401915,0.6362279073521104
unstable_angina_ac_ischemia,106,0.004277298,0.8196683738228574,0.017956575404816794,0.010406922357343312,0.839622641509434,0.02055902055902056,0.6578161568880639
