target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9245222151536678,0.7476909267562781,0.8151260504201681,0.28082425068119893,0.41773274224192525,0.8145024614639658
afib_aflutter,1834,0.07400533,0.9468720732987139,0.6929493564913576,0.8787446504992867,0.33587786259541985,0.48599605522682443,0.947421515616173
chronic_ischemic_disease,1980,0.079896696,0.9077798974748804,0.4450868019778687,0.8333333333333334,0.020202020202020204,0.03944773175542406,0.9213945605681543
heart_failure_acute,993,0.040069405,0.9405769767497287,0.43343411323922737,0.9,0.00906344410876133,0.01794616151545364,0.9602534097328707
brady_heart_block_conduction,380,0.01533371,0.9179714561791744,0.2338553200904473,0.0,0.0,0.0,0.9846662900492292
ami_stemi,55,0.0022193529,0.9385125571237918,0.2175578364211352,0.0,0.0,0.0,0.9977806472439674
stroke_tia,359,0.01448632,0.8905276397641978,0.20859718503017283,0.0,0.0,0.0,0.9855136792833509
heart_failure_chronic,700,0.028246308,0.9180307164805962,0.2017861399900423,0.0,0.0,0.0,0.9717536921959486
valvular_endocardial_disease,622,0.025098862,0.9076041489214455,0.20144886300123419,0.0,0.0,0.0,0.9749011379226858
cardiomyopathy_myocarditis,280,0.011298523,0.9253262124374686,0.18868096334714402,0.0,0.0,0.0,0.9887014768783795
ventricular_arrhythmias_arrest,174,0.007021225,0.9344470726275353,0.16933801149926822,0.0,0.0,0.0,0.9929787749172787
ami_nstemi,304,0.012266968,0.9089729741206928,0.15401122431246286,0.0,0.0,0.0,0.9877330320393835
supraventricular_tachyarrhythmias,164,0.0066177063,0.8788210688589947,0.11680885453113049,1.0,0.006097560975609756,0.012121212121212121,0.9934226454684852
aortic_peripheral_vascular,408,0.016463563,0.880272513945268,0.09198667567278662,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.8404268715490038,0.06862541098611841,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.9043953027462326,0.05851500268506074,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.8534035677080988,0.030578747470307692,0.0,0.0,0.0,0.9956419982245178
