target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9001729204160825,0.6779403861968942,0.661939372451693,0.635899182561308,0.648658038738817,0.8367766927608749
afib_aflutter,1834,0.07400533,0.9239234087441353,0.6037359277756842,0.7322314049586777,0.4830970556161396,0.5821287779237845,0.9486724235332096
chronic_ischemic_disease,1980,0.079896696,0.8743636700307168,0.3691299172639522,0.5764705882352941,0.09898989898989899,0.16896551724137931,0.9222015979339844
heart_failure_acute,993,0.040069405,0.9204183159962436,0.366909860513989,0.6705882352941176,0.05740181268882175,0.10575139146567718,0.9611007989669922
ami_stemi,55,0.0022193529,0.874576557829682,0.2557692926614218,0.5555555555555556,0.18181818181818182,0.273972602739726,0.9978613509805504
brady_heart_block_conduction,380,0.01533371,0.8948875523576583,0.20613541640792352,0.5789473684210527,0.05789473684210526,0.10526315789473684,0.9849084012589783
valvular_endocardial_disease,622,0.025098862,0.8836494644492238,0.16012922995221546,0.0,0.0,0.0,0.9749011379226858
heart_failure_chronic,700,0.028246308,0.8949303569945544,0.15734185135707768,0.0,0.0,0.0,0.9717536921959486
cardiomyopathy_myocarditis,280,0.011298523,0.8917645206805276,0.14421617077180265,0.5333333333333333,0.02857142857142857,0.05423728813559322,0.9887418287466709
ventricular_arrhythmias_arrest,174,0.007021225,0.8882787860783523,0.12956303177990636,0.0,0.0,0.0,0.9928577193124042
ami_nstemi,304,0.012266968,0.8831116743929027,0.1285531080628025,0.0,0.0,0.0,0.9877330320393835
stroke_tia,359,0.01448632,0.834885023786314,0.1203787673680018,0.3333333333333333,0.002785515320334262,0.0055248618784530384,0.9854733274150593
aortic_peripheral_vascular,408,0.016463563,0.8305072244291167,0.05976258405245925,0.0,0.0,0.0,0.9835364377370672
supraventricular_tachyarrhythmias,164,0.0066177063,0.7837498439571283,0.046062392014975806,0.6,0.018292682926829267,0.03550295857988166,0.9934226454684852
pe_dvt_venous_thromboembolism,327,0.013195061,0.757450275329398,0.037754292355267734,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.8593136865092351,0.028262625598611788,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.8031200934256782,0.018318690091782056,0.06451612903225806,0.037037037037037035,0.047058823529411764,0.9934629973367767
