model_type,mean_roc_auc,mean_pr_auc,accuracy,precision,recall,f1
baseline,0.9074273072282432,0.2442802306562618,0.972743499788746,0.6951563458001226,0.3865402972862403,0.4968231015292932
baseline_bce_weighted,0.8593464553734237,0.1979244473561438,0.9621143429529022,0.462785217541238,0.5490249556798036,0.5022298456260721
baseline_focal,0.9044401007206496,0.2498546297858349,0.9698642753041818,0.8130959949141767,0.174417018955407,0.2872220974623849
large,0.9073119764382372,0.2518834821164041,0.9724705312679508,0.7093912093912094,0.3543570162280103,0.4726264096034921
medium,0.9069462000328552,0.2515332826994461,0.9728194562467066,0.7023285084959093,0.380471839629074,0.4935650789438768
nogate_bce,0.9071201991625673,0.2465691652945253,0.972743499788746,0.6987635818658674,0.3814946133915178,0.4935385701054117
nogate_bce_weighted,0.8672981163713575,0.2028862988203228,0.9624680152102808,0.4663969035890218,0.5422746488476748,0.5014818084368498
nogate_focal,0.9069684273611466,0.2506442019707084,0.9695723176688964,0.8318361480416816,0.1578480840038183,0.2653447188950656
baseline_bce_weighted_weighted,0.8493966018434703,0.192438515899137,0.4716682411807431,0.0613546892602922,0.9914768853129688,0.1155583811813323
baseline_focal_weighted,0.8633366066557338,0.1999469903399556,0.9702037057256928,0.6274888379389405,0.3545615709804991,0.4530998126606543
nogate_bce_weighted_weighted,0.845240276598484,0.1818941158980289,0.5272398847360751,0.0677561882985751,0.9860220919132688,0.1267991564844164
nogate_focal_weighted,0.8646531397298204,0.2064684437779275,0.9709371602728736,0.6632075471698113,0.3355379789990454,0.4456216607805849
