model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
baseline,hypertension_crisis,5872,0.23694617,0.9249361128362228,0.7491491105689441,0.6916449934980494,0.724625340599455,0.7077511643379907,0.8582035348236623
baseline,afib_aflutter,1834,0.07400533,0.9476675990609086,0.6963007276502485,0.81871921182266,0.4531079607415485,0.5833625833625834,0.9521023323379872
baseline,chronic_ischemic_disease,1980,0.079896696,0.9074866173355342,0.4370061837543376,0.5692995529061102,0.1929292929292929,0.2881931346661637,0.923856024533936
baseline,heart_failure_acute,993,0.040069405,0.939030695214562,0.4241941272945909,0.6172413793103448,0.1802618328298086,0.2790335151987529,0.9626745218303608
baseline,brady_heart_block_conduction,380,0.01533371,0.91729377229649,0.2276093964428077,0.9333333333333332,0.0368421052631578,0.070886075949367,0.9851908643370187
baseline,stroke_tia,359,0.01448632,0.8896324381202843,0.220649899654664,1.0,0.0055710306406685,0.0110803324099723,0.985594383019934
baseline,valvular_endocardial_disease,622,0.025098862,0.9081229304635762,0.2011194316568739,0.0,0.0,0.0,0.9749011379226858
baseline,heart_failure_chronic,700,0.028246308,0.9170888749154674,0.1966348269609019,0.0,0.0,0.0,0.9717536921959486
baseline,ventricular_arrhythmias_arrest,174,0.007021225,0.9344554803222576,0.1794687672049394,0.0,0.0,0.0,0.9929787749172788
baseline,cardiomyopathy_myocarditis,280,0.011298523,0.9250733176300476,0.1643171576416404,0.0,0.0,0.0,0.9887014768783796
baseline,ami_nstemi,304,0.012266968,0.903129448140328,0.1409916932057509,0.0,0.0,0.0,0.9877330320393836
baseline,ami_stemi,55,0.0022193529,0.9499273889050246,0.1388534034750784,0.0,0.0,0.0,0.9977806472439674
baseline,supraventricular_tachyarrhythmias,164,0.0066177063,0.8853664481075716,0.1308969262667029,0.6,0.0365853658536585,0.0689655172413793,0.9934629973367768
baseline,aortic_peripheral_vascular,408,0.016463563,0.8753723129113793,0.0864436555065496,0.0,0.0,0.0,0.9835364377370672
baseline,pe_dvt_venous_thromboembolism,327,0.013195061,0.8404040498775447,0.0729656527337093,0.0,0.0,0.0,0.9868049390686788
baseline,unstable_angina_ac_ischemia,106,0.004277298,0.9044927926302236,0.0499272929912201,0.0,0.0,0.0,0.9957227019611008
baseline,pericardial_disease_tamponade,108,0.004358002,0.8567839441127112,0.0362356681474903,0.0,0.0,0.0,0.9956419982245178
baseline_bce_weighted,hypertension_crisis,5872,0.23694617,0.8928758832891207,0.6706291522438682,0.5087137715476416,0.9146798365122616,0.6538040170419963,0.7704785731579372
baseline_bce_weighted,afib_aflutter,1834,0.07400533,0.9276113374907264,0.6070536103907977,0.5925133689839572,0.604143947655398,0.5982721382289417,0.9399564199822452
baseline_bce_weighted,chronic_ischemic_disease,1980,0.079896696,0.871250594711256,0.3630121604167388,0.3508494666139866,0.4484848484848485,0.3937042784305032,0.8896376402227423
baseline_bce_weighted,heart_failure_acute,993,0.040069405,0.9184476716815092,0.3221168235244274,0.3836032388663967,0.3816717019133938,0.3826350328117112,0.9506496650794932
baseline_bce_weighted,ami_stemi,55,0.0022193529,0.8939929484516373,0.18377005240479,0.2142857142857142,0.3272727272727272,0.2589928057553957,0.9958437575659752
baseline_bce_weighted,brady_heart_block_conduction,380,0.01533371,0.910921020278752,0.1813955596113962,0.214975845410628,0.2342105263157894,0.2241813602015113,0.9751432491324348
baseline_bce_weighted,heart_failure_chronic,700,0.028246308,0.8867336599950171,0.1718318324202279,0.3043478260869565,0.01,0.0193637621023513,0.9713905253813252
baseline_bce_weighted,stroke_tia,359,0.01448632,0.8448026695690862,0.1623998203229484,0.3138297872340425,0.1643454038997214,0.2157221206581352,0.9826890485029456
baseline_bce_weighted,valvular_endocardial_disease,622,0.025098862,0.8839839175060158,0.1568124554830308,0.2386363636363636,0.0337620578778135,0.0591549295774647,0.9730449519812768
baseline_bce_weighted,cardiomyopathy_myocarditis,280,0.011298523,0.8729162050911295,0.1201165738950569,0.1944444444444444,0.2,0.1971830985915492,0.9815995480590752
baseline_bce_weighted,ventricular_arrhythmias_arrest,174,0.007021225,0.8710623963050984,0.1157774193996339,0.3230769230769231,0.1206896551724138,0.1757322175732217,0.992050681946574
baseline_bce_weighted,ami_nstemi,304,0.012266968,0.8655655078029251,0.1120406368407149,0.4210526315789473,0.0526315789473684,0.0935672514619883,0.9874909208296344
baseline_bce_weighted,supraventricular_tachyarrhythmias,164,0.0066177063,0.7988173931824623,0.0663848424244182,0.175438596491228,0.0609756097560975,0.090497737556561,0.991889274473408
baseline_bce_weighted,aortic_peripheral_vascular,408,0.016463563,0.8072837477897535,0.049470688612358,0.0,0.0,0.0,0.9835364377370672
baseline_bce_weighted,pe_dvt_venous_thromboembolism,327,0.013195061,0.7457509486624936,0.0334307721010509,0.0,0.0,0.0,0.9867645872003874
