target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9176488920341154,0.7250731178957704,0.5670558535815715,0.9180858310626703,0.7010858963521686,0.8145024614639658
afib_aflutter,1834,0.07400533,0.9398780947831606,0.633979398491831,0.3349117520447697,0.8484187568157033,0.4802469135802469,0.8640949075942216
chronic_ischemic_disease,1980,0.079896696,0.9044460812847358,0.4174306794823026,0.26155226558995065,0.8833333333333333,0.4035998615437868,0.7914211928012267
heart_failure_acute,993,0.040069405,0.9340150484642233,0.38077708523781195,0.19626168224299065,0.8670694864048338,0.32007434944237917,0.8523928657896861
ami_stemi,55,0.0022193529,0.9279712643889454,0.2266019843441703,0.029275808936825885,0.6909090909090909,0.05617147080561715,0.9484706641917521
valvular_endocardial_disease,622,0.025098862,0.9070893600540875,0.19157884871170983,0.10095057034220532,0.8536977491961415,0.180550833049983,0.8055039948349608
stroke_tia,359,0.01448632,0.888415721196183,0.1891056929003168,0.05238970588235294,0.7938718662952646,0.0982928091050181,0.7890000807037366
heart_failure_chronic,700,0.028246308,0.9133092291812497,0.184912537510597,0.11830228538505858,0.88,0.2085661080074488,0.8113550157372287
brady_heart_block_conduction,380,0.01533371,0.9171743903648968,0.17367885590102877,0.07570380884788266,0.8421052631578947,0.13891903624918603,0.8399241384876119
ventricular_arrhythmias_arrest,174,0.007021225,0.9336133095675828,0.16060578037531933,0.043707377557346556,0.8103448275862069,0.08294117647058824,0.8741828746670971
cardiomyopathy_myocarditis,280,0.011298523,0.9239489196217219,0.1466724037682434,0.05962732919254658,0.8571428571428571,0.11149825783972125,0.8456541037850053
ami_nstemi,304,0.012266968,0.9049683039765031,0.12276213193369388,0.049205437488033694,0.8453947368421053,0.09299800977021892,0.797716084254701
supraventricular_tachyarrhythmias,164,0.0066177063,0.877443680907684,0.11460430488403167,0.021534108770826784,0.8353658536585366,0.04198590254367147,0.7477201194415302
aortic_peripheral_vascular,408,0.016463563,0.8740747232264532,0.08420805378490956,0.05481324020649864,0.8848039215686274,0.10323134114955676,0.7469130820757001
pe_dvt_venous_thromboembolism,327,0.013195061,0.8340824468833412,0.06724716481182645,0.029640427599611274,0.9327217125382263,0.05745502495996986,0.5961988540069405
unstable_angina_ac_ischemia,106,0.004277298,0.9036012380832954,0.04074500550399142,0.019218717359515355,0.8679245283018868,0.03760474146740241,0.8099830522153175
pericardial_disease_tamponade,108,0.004358002,0.8552645009441637,0.03348321819800721,0.011735878256383801,0.8425925925925926,0.02314932587127957,0.6900976515212655
