target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.917242743844714,0.7231087833098125,0.5686253824243064,0.9179155313351499,0.702234382124943,0.8155516100395448
afib_aflutter,1834,0.07400533,0.9417716889296345,0.6431292486444764,0.33966745843230406,0.8576881134133042,0.48662026295436966,0.8660721491405052
chronic_ischemic_disease,1980,0.079896696,0.9007371761647702,0.4176508967311486,0.25472665982705556,0.8777777777777778,0.3948653867999546,0.7850455976111694
heart_failure_acute,993,0.040069405,0.9342218218690613,0.3838464618147755,0.18780539621839812,0.8902316213494461,0.3101754385964912,0.8413364538778145
ami_stemi,55,0.0022193529,0.9224241443839454,0.22152424617132763,0.026466380543633764,0.6727272727272727,0.05092911218169305,0.9443547736260189
brady_heart_block_conduction,380,0.01533371,0.9136583929703777,0.2086393656588437,0.06786761625471303,0.8526315789473684,0.12572759022118743,0.8181744814784925
heart_failure_chronic,700,0.028246308,0.9144149157046756,0.191341596451211,0.1165644171779141,0.8957142857142857,0.20628392827767725,0.8053022354935033
valvular_endocardial_disease,622,0.025098862,0.904461814058474,0.1877005165669424,0.09123434704830054,0.9019292604501608,0.16570669029685423,0.7720522960213058
stroke_tia,359,0.01448632,0.8888833383117449,0.18343149964429706,0.04978687127024723,0.8133704735376045,0.09383033419023136,0.7724154628359293
ventricular_arrhythmias_arrest,174,0.007021225,0.9351070766632289,0.16404463968616265,0.0405853119823302,0.8448275862068966,0.07744994731296101,0.8586877572431604
cardiomyopathy_myocarditis,280,0.011298523,0.9255105268374593,0.16022599725259426,0.05714285714285714,0.8714285714285714,0.10725274725274725,0.8360907109999193
ami_nstemi,304,0.012266968,0.9050537055831014,0.13960505192120323,0.04827217670110438,0.8914473684210527,0.09158499493071984,0.7830683560648858
supraventricular_tachyarrhythmias,164,0.0066177063,0.8823055309519705,0.11273942779281998,0.022481406355645706,0.8109756097560976,0.04375,0.765394237753208
aortic_peripheral_vascular,408,0.016463563,0.8702645618844895,0.08693939022524477,0.05199481492150367,0.8848039215686274,0.09821792953339682,0.7325074650956339
pe_dvt_venous_thromboembolism,327,0.013195061,0.8412553294855369,0.06754524007457674,0.032121818383905744,0.8837920489296636,0.06199056199056199,0.6470825599225244
unstable_angina_ac_ischemia,106,0.004277298,0.8977269946812577,0.04621892423589316,0.019004911381592996,0.839622641509434,0.037168511171434535,0.8139375353078847
pericardial_disease_tamponade,108,0.004358002,0.8508979312456656,0.03200414740532937,0.015268729641693811,0.6944444444444444,0.029880478087649404,0.8034864014203857
