model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
mlp_baseline,label_hypertension_crisis,5895,0.23177636234961077,0.9330996735135024,0.7815973697624956,0.7555303460011344,0.6778625954198473,0.7145922746781116,0.8744987025241803
mlp_baseline,label_afib_aflutter,1846,0.07258001100888574,0.9482958951711863,0.6806656347752349,0.866504854368932,0.38678223185265437,0.5348314606741573,0.9511677282377919
mlp_baseline,label_chronic_ischemic_disease,1988,0.07816308877880003,0.9253320078279109,0.4553771610874451,0.5843881856540084,0.13933601609657947,0.22502030869212022,0.9249823071479123
mlp_baseline,label_heart_failure_acute,999,0.03927813163481953,0.9287922667910391,0.3279280828636,0.0,0.0,0.0,0.9606825509160966
mlp_baseline,label_valvular_endocardial_disease,625,0.02457340567743965,0.9276117537990245,0.20771808182895035,0.0,0.0,0.0,0.9754265943225604
mlp_baseline,label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9294021003597633,0.1999726060806634,0.0,0.0,0.0,0.9888731619092553
mlp_baseline,label_heart_failure_chronic,702,0.027600849256900213,0.924683087023375,0.19288199200579767,0.0,0.0,0.0,0.9723991507430998
mlp_baseline,label_brady_heart_block_conduction,382,0.015019265550051113,0.9257562071937491,0.15986217119865664,0.0,0.0,0.0,0.9849807344499489
mlp_baseline,label_stroke_tia,368,0.014468821262876465,0.9032881453831451,0.14207161120413392,0.0,0.0,0.0,0.9855311787371235
mlp_baseline,label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9287463684739149,0.1228890250277947,0.0,0.0,0.0,0.9928442242667296
mlp_baseline,label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.889375959153339,0.1060500073698837,1.0,0.018292682926829267,0.03592814371257485,0.9936698906974916
mlp_baseline,label_ami_nstemi,306,0.012031139419674451,0.9128867388513296,0.09394502800034395,0.0,0.0,0.0,0.9879688605803255
mlp_baseline,label_aortic_peripheral_vascular,411,0.016159471573484314,0.897605930038282,0.08658962702200806,0.0,0.0,0.0,0.9838405284265157
mlp_baseline,label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8650939108197588,0.06701577885951826,0.0,0.0,0.0,0.986946606904144
mlp_baseline,label_ami_stemi,57,0.0022410945977824957,0.9121673237750165,0.04131052853991413,0.0,0.0,0.0,0.9977589054022175
mlp_baseline,label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9037141848177244,0.029726626993277737,0.0,0.0,0.0,0.9957930329480223
mlp_baseline,label_pericardial_disease_tamponade,108,0.004246284501061571,0.8582663548805064,0.0242314052355475,0.0,0.0,0.0,0.9957537154989384
