target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.8827290678641413,0.6596389339260957
label_afib_aflutter,1846,0.07258001100888574,0.9143293268828874,0.5041591174611774
label_chronic_ischemic_disease,1988,0.07816308877880003,0.8943859137079578,0.36572571043725144
label_heart_failure_acute,999,0.03927813163481953,0.9031906471644553,0.24661743733437463
label_valvular_endocardial_disease,625,0.02457340567743965,0.9228539965335161,0.19308000322305996
label_heart_failure_chronic,702,0.027600849256900213,0.9176728950301651,0.18034594972644502
label_brady_heart_block_conduction,382,0.015019265550051113,0.9184317561879667,0.16837048380679623
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9193309161779462,0.14037629192540674
label_stroke_tia,368,0.014468821262876465,0.8801743831068587,0.11253549630335241
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9069128242263043,0.0871762732945763
label_ami_nstemi,306,0.012031139419674451,0.8925454613555067,0.07513081357662353
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8796673483752611,0.06787086181014274
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8295477943964529,0.05572382075801928
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8320512851448262,0.03213029662438779
label_ami_stemi,57,0.0022410945977824957,0.8641897726149317,0.030902231418540923
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8093380832463197,0.02089880886764768
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8698500252215046,0.020019677291308914
