target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9272399721120599,0.7528674156133548
label_afib_aflutter,1846,0.07258001100888574,0.9424576115331977,0.5870153066365988
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9213829423697348,0.4167741574585355
label_heart_failure_acute,999,0.03927813163481953,0.9253815714630119,0.2981950546143145
label_valvular_endocardial_disease,625,0.02457340567743965,0.9248344068684751,0.1938648892191146
label_heart_failure_chronic,702,0.027600849256900213,0.9243696126176313,0.18780633807509012
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.932517699104476,0.1422672793756184
label_brady_heart_block_conduction,382,0.015019265550051113,0.9183473244760845,0.12137932193547142
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9288158875023281,0.10825900140645256
label_stroke_tia,368,0.014468821262876465,0.8930851356765964,0.10249881040859173
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8830115243178549,0.08851067732408567
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8935526274464962,0.08298623507996401
label_ami_nstemi,306,0.012031139419674451,0.907603137296519,0.07726179531288638
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8655889392963456,0.06599966353003987
label_ami_stemi,57,0.0022410945977824957,0.9098333965899498,0.04982916321413369
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9100177159390683,0.031960365003852534
label_pericardial_disease_tamponade,108,0.004246284501061571,0.861682182854101,0.021578074314756585
