target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9335000037549137,0.7818213356304005
label_afib_aflutter,1846,0.07258001100888574,0.9477932592751958,0.6790579499323377
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9254447932154901,0.4418299232733783
label_heart_failure_acute,999,0.03927813163481953,0.9302672633755097,0.31959565490138364
label_valvular_endocardial_disease,625,0.02457340567743965,0.9273352412430972,0.19969816169824794
label_heart_failure_chronic,702,0.027600849256900213,0.9254083547711237,0.18911870758227173
label_brady_heart_block_conduction,382,0.015019265550051113,0.9251251637431837,0.16542962291188887
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9295447019437227,0.1609734016629372
label_stroke_tia,368,0.014468821262876465,0.8972720712969933,0.13367146518588682
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9299866140512426,0.1082307094533033
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8911313907361473,0.10566992570813644
label_ami_nstemi,306,0.012031139419674451,0.9138718259244692,0.09963559359526543
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8972966282212579,0.08740606657756338
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8637184984060216,0.06977690286065316
label_ami_stemi,57,0.0022410945977824957,0.9118313378117636,0.03835111269013281
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9063427932733306,0.029351231202453015
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8587323157873186,0.02275086132804348
