target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9333486655361989,0.7761934433257863
label_afib_aflutter,1846,0.07258001100888574,0.949653918082004,0.6827150018784129
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9262615164672244,0.4425061646382118
label_heart_failure_acute,999,0.03927813163481953,0.9298593867040766,0.3178556838559059
label_valvular_endocardial_disease,625,0.02457340567743965,0.9275137248579145,0.19890222671831442
label_heart_failure_chronic,702,0.027600849256900213,0.9264757516819624,0.19456262576053296
label_brady_heart_block_conduction,382,0.015019265550051113,0.9254380208537968,0.16571743407163425
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9331080556126509,0.16256715750945405
label_stroke_tia,368,0.014468821262876465,0.8977690202213982,0.13133424289857795
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9304648701528156,0.12093555334348646
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8912344243149594,0.11118977474173108
label_ami_nstemi,306,0.012031139419674451,0.9140922658992495,0.09288126760724372
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8975804546921456,0.08765124741931025
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8636657617642909,0.06875809153728928
label_ami_stemi,57,0.0022410945977824957,0.9181860352895873,0.04404486022194355
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9101579379104491,0.03278154952527311
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8599031591016111,0.024853398473323872
