target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5899,0.23161490439357652,0.9375929405423938,0.7805459186508765
label_afib_aflutter,1733,0.0680435038674467,0.9542382051771253,0.7344875928988568
label_chronic_ischemic_disease,2026,0.07954768542149279,0.9359582518923155,0.5366079902219625
label_heart_failure_acute,1038,0.04075542816757627,0.9512352787201642,0.4507912419893011
label_brady_heart_block_conduction,397,0.015587577054458361,0.9379723424245981,0.27058859328299767
label_cardiomyopathy_myocarditis,303,0.011896815736778045,0.9453671187670304,0.22802600741801501
label_valvular_endocardial_disease,636,0.024971534021751934,0.923633393078342,0.22699189390415458
label_heart_failure_chronic,697,0.02736660253641682,0.9314618473997925,0.2093713113598729
label_ventricular_arrhythmias_arrest,180,0.007067415289175076,0.9378792272441685,0.16826038299192644
label_supraventricular_tachyarrhythmias,176,0.006910361616082296,0.8870356467653645,0.1539342114021501
label_ami_nstemi,318,0.012485767010875967,0.9278474992179313,0.1363019685659205
label_ami_stemi,57,0.002238014841572107,0.9525814575790965,0.1338422585493569
label_stroke_tia,401,0.01574463072755114,0.8803630683145336,0.10717678778564861
label_aortic_peripheral_vascular,441,0.017315167458478935,0.8992081249952434,0.10484055234888834
label_pe_dvt_venous_thromboembolism,334,0.013113981703247084,0.8651328931554039,0.05978860758850172
label_pericardial_disease_tamponade,122,0.004790137029329774,0.8885456745616741,0.04760120222200863
label_unstable_angina_ac_ischemia,109,0.00427971259177824,0.9124620148756983,0.045754921039188004
