target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
label_hypertension_crisis,5895,0.23177636234961077,0.9367825016329534,0.7889266035194631,0.7493720846788662,0.7085665818490245,0.7283982910454267,0.8775261461036408
label_afib_aflutter,1846,0.07258001100888574,0.9527237255074519,0.7032375521301968,0.7972093023255814,0.46424702058504874,0.5867853474837385,0.9525438389557286
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9326301363585419,0.4960038650418393,0.5866228070175439,0.26911468812877265,0.3689655172413793,0.9280490681764567
label_heart_failure_acute,999,0.03927813163481953,0.939507995820662,0.3779627052479872,0.5509433962264151,0.14614614614614616,0.2310126582278481,0.9617834394904459
label_brady_heart_block_conduction,382,0.015019265550051113,0.9360142944560133,0.2579991326416296,0.6896551724137931,0.05235602094240838,0.09732360097323602,0.9854132263898718
label_heart_failure_chronic,702,0.027600849256900213,0.9300967914505033,0.22471149817186523,0.375,0.008547008547008548,0.016713091922005572,0.9722418809467642
label_valvular_endocardial_disease,625,0.02457340567743965,0.9288676206215486,0.21159387681741915,0.5,0.0032,0.006359300476947536,0.9754265943225604
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9246209432132394,0.1847661232109149,0.5909090909090909,0.045936395759717315,0.08524590163934426,0.9890304317055909
label_stroke_tia,368,0.014468821262876465,0.9051524627158216,0.14991425609878647,0.5384615384615384,0.019021739130434784,0.03674540682414698,0.9855704961862074
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9280870800354406,0.13105539532320154,0.0,0.0,0.0,0.992686954470394
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8911140173926472,0.12200881506402768,0.5555555555555556,0.03048780487804878,0.057803468208092484,0.9935912557993237
label_ami_nstemi,306,0.012031139419674451,0.9227233687701972,0.1197587868968384,0.0,0.0,0.0,0.9879295431312416
label_ami_stemi,57,0.0022410945977824957,0.9223402321068463,0.10852934025328233,1.0,0.017543859649122806,0.034482758620689655,0.9977982228513014
label_aortic_peripheral_vascular,411,0.016159471573484314,0.895182368960216,0.08859496014630654,0.0,0.0,0.0,0.9838405284265157
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8652767791747021,0.07254859863708252,0.0,0.0,0.0,0.986946606904144
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8647773770769901,0.03626452194492884,0.0,0.0,0.0,0.9957537154989384
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8992693328275502,0.026812537768530063,0.0,0.0,0.0,0.9957930329480223
