target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
label_hypertension_crisis,5899,0.23161490439357652,0.9401502796651139,0.7972013249799501,0.7507512815980202,0.7199525343278522,0.7350294219453098,0.8797754132474773
label_afib_aflutter,1733,0.0680435038674467,0.955050516248069,0.7195295712389269,0.8089990817263545,0.5083669936526255,0.6243798724309001,0.9583807766304134
label_chronic_ischemic_disease,2026,0.07954768542149279,0.9372973677221502,0.5350265196330587,0.6233766233766234,0.3079960513326752,0.4122893954410307,0.9301503788919864
label_heart_failure_acute,1038,0.04075542816757627,0.9518538270142115,0.45856372455301153,0.6155844155844156,0.22832369942196531,0.33309908643710473,0.9627390160587381
label_brady_heart_block_conduction,397,0.015587577054458361,0.9414122089088715,0.2983798833710052,0.6521739130434783,0.07556675062972293,0.13544018058690746,0.9849621108013664
label_valvular_endocardial_disease,636,0.024971534021751934,0.9259385715447113,0.2380866153891057,0.5555555555555556,0.007861635220125786,0.015503875968992248,0.9750677293965213
label_cardiomyopathy_myocarditis,303,0.011896815736778045,0.9441870993107417,0.21468497050586086,0.5161290322580645,0.052805280528052806,0.09580838323353294,0.9881424476814952
label_heart_failure_chronic,697,0.02736660253641682,0.9304351235636292,0.20852543076908775,0.19047619047619047,0.005738880918220947,0.011142061281337047,0.9721229730260317
label_supraventricular_tachyarrhythmias,176,0.006910361616082296,0.8919713233629138,0.17614044788504618,0.8333333333333334,0.056818181818181816,0.10638297872340426,0.9934037457301033
label_ventricular_arrhythmias_arrest,180,0.007067415289175076,0.9277962311237649,0.1445193066862416,0.3888888888888889,0.03888888888888889,0.0707070707070707,0.9927755310377322
label_stroke_tia,401,0.01574463072755114,0.8960306271181787,0.14172075708438436,0.25,0.0024937655860349127,0.0049382716049382715,0.9841768424359024
label_ami_nstemi,318,0.012485767010875967,0.9241048219696429,0.12838802966211407,0.23076923076923078,0.009433962264150943,0.01812688821752266,0.9872393890612117
label_ami_stemi,57,0.002238014841572107,0.9226246199474761,0.1254837726533627,0.6,0.05263157894736842,0.0967741935483871,0.997801248576701
label_aortic_peripheral_vascular,441,0.017315167458478935,0.893348565253175,0.09622106009919221,0.0,0.0,0.0,0.9826848325415211
label_pericardial_disease_tamponade,122,0.004790137029329774,0.9021072756047696,0.0885418654293056,1.0,0.01639344262295082,0.03225806451612903,0.9952883898072166
label_pe_dvt_venous_thromboembolism,334,0.013113981703247084,0.8726136348746708,0.07946986708081932,0.0,0.0,0.0,0.9868860182967529
label_unstable_angina_ac_ischemia,109,0.00427971259177824,0.8992424680924958,0.042306620884909565,0.0,0.0,0.0,0.9957202874082217
