model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
xgboost_baseline,label_hypertension_crisis,5895,0.2317763623496107,0.9367825016329534,0.7889266035194631,0.7493720846788662,0.7085665818490245,0.7283982910454267,0.8775261461036408
xgboost_baseline,label_afib_aflutter,1846,0.0725800110088857,0.952723725507452,0.7032375521301968,0.7972093023255814,0.4642470205850487,0.5867853474837385,0.9525438389557286
xgboost_baseline,label_chronic_ischemic_disease,1988,0.0781630887788,0.932630136358542,0.4960038650418393,0.5866228070175439,0.2691146881287726,0.3689655172413793,0.9280490681764568
xgboost_baseline,label_heart_failure_acute,999,0.0392781316348195,0.939507995820662,0.3779627052479872,0.5509433962264151,0.1461461461461461,0.2310126582278481,0.961783439490446
xgboost_baseline,label_brady_heart_block_conduction,382,0.0150192655500511,0.9360142944560133,0.2579991326416296,0.6896551724137931,0.0523560209424083,0.097323600973236,0.9854132263898718
xgboost_baseline,label_heart_failure_chronic,702,0.0276008492569002,0.9300967914505032,0.2247114981718652,0.375,0.0085470085470085,0.0167130919220055,0.9722418809467642
xgboost_baseline,label_valvular_endocardial_disease,625,0.0245734056774396,0.9288676206215486,0.2115938768174191,0.5,0.0032,0.0063593004769475,0.9754265943225604
xgboost_baseline,label_cardiomyopathy_myocarditis,283,0.0111268380907446,0.9246209432132394,0.1847661232109149,0.5909090909090909,0.0459363957597173,0.0852459016393442,0.9890304317055908
xgboost_baseline,label_stroke_tia,368,0.0144688212628764,0.9051524627158216,0.1499142560987864,0.5384615384615384,0.0190217391304347,0.0367454068241469,0.9855704961862074
xgboost_baseline,label_ventricular_arrhythmias_arrest,182,0.0071557757332704,0.9280870800354406,0.1310553953232015,0.0,0.0,0.0,0.992686954470394
xgboost_baseline,label_supraventricular_tachyarrhythmias,164,0.0064480616497601,0.8911140173926472,0.1220088150640276,0.5555555555555556,0.0304878048780487,0.0578034682080924,0.9935912557993236
xgboost_baseline,label_ami_nstemi,306,0.0120311394196744,0.9227233687701972,0.1197587868968384,0.0,0.0,0.0,0.9879295431312416
xgboost_baseline,label_ami_stemi,57,0.0022410945977824,0.9223402321068463,0.1085293402532823,1.0,0.0175438596491228,0.0344827586206896,0.9977982228513014
xgboost_baseline,label_aortic_peripheral_vascular,411,0.0161594715734843,0.895182368960216,0.0885949601463065,0.0,0.0,0.0,0.9838405284265156
