target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
label_hypertension_crisis,5895,0.23177636234961077,0.9194913363720788,0.7258605022330006,0.7687957418496341,0.39202714164546226,0.5192674980339288,0.8317606353699772
label_afib_aflutter,1846,0.07258001100888574,0.9449878314643342,0.6381881386257758,0.8136300417246175,0.31690140845070425,0.45614035087719296,0.9451521585279548
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9222697998105498,0.4337200065042731,0.6,0.06941649899396378,0.12443642921550947,0.9236455138790596
label_heart_failure_acute,999,0.03927813163481953,0.9302341015048197,0.3348041520811997,0.48760330578512395,0.05905905905905906,0.10535714285714286,0.9606039160179287
label_brady_heart_block_conduction,382,0.015019265550051113,0.9266330221620704,0.21048662270582869,0.41818181818181815,0.060209424083769635,0.10526315789473684,0.9846268774081938
label_valvular_endocardial_disease,625,0.02457340567743965,0.9199742674029587,0.19543072266532574,0.5555555555555556,0.008,0.015772870662460567,0.9754659117716442
label_heart_failure_chronic,702,0.027600849256900213,0.9165065744092915,0.18586590950148324,0.4,0.002849002849002849,0.005657708628005658,0.9723598332940159
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9146302621916276,0.1816452083823779,0.5333333333333333,0.028268551236749116,0.053691275167785234,0.9889124793583393
label_stroke_tia,368,0.014468821262876465,0.8784438430369911,0.1344567173680169,0.36585365853658536,0.04076086956521739,0.07334963325183375,0.9850986867972006
label_ami_nstemi,306,0.012031139419674451,0.9099864900857934,0.1076872959917324,0.0,0.0,0.0,0.9879688605803255
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9090123206430825,0.09725939987186902,0.0,0.0,0.0,0.9927655893685617
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8727065017458877,0.07042118957161968,0.0,0.0,0.0,0.9838405284265157
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8289654656538651,0.06792323368702911,0.2727272727272727,0.054878048780487805,0.09137055837563451,0.9929621766139813
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.821349736448783,0.047962953631131185,0.0,0.0,0.0,0.986946606904144
label_ami_stemi,57,0.0022410945977824957,0.8831937194130062,0.03404567000707426,0.16666666666666666,0.017543859649122806,0.031746031746031744,0.9976016356058819
label_pericardial_disease_tamponade,108,0.004246284501061571,0.7946488895908463,0.028878774302390078,0.09090909090909091,0.018518518518518517,0.03076923076923077,0.9950460014154282
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8660182753509331,0.02219793423053795,0.0,0.0,0.0,0.9957143980498545
