target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.936871551692292,0.7899351613976289
label_afib_aflutter,1846,0.07258001100888574,0.9527882587524994,0.7050057502206534
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9321778791833145,0.4942728262399761
label_heart_failure_acute,999,0.03927813163481953,0.9389850665070637,0.3801031433637082
label_brady_heart_block_conduction,382,0.015019265550051113,0.9354513292978877,0.2572485480146038
label_heart_failure_chronic,702,0.027600849256900213,0.929973417600783,0.22352063299988278
label_valvular_endocardial_disease,625,0.02457340567743965,0.9287252851787657,0.2118972408235218
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9242076093610142,0.1873098714657598
label_stroke_tia,368,0.014468821262876465,0.9038552894272164,0.15158091000034324
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9288335120447428,0.12486366929081488
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.8964276062428215,0.12262820190252675
label_ami_nstemi,306,0.012031139419674451,0.9228369051111902,0.1185578762567354
label_ami_stemi,57,0.0022410945977824957,0.9173246391780372,0.11248585164840287
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8959488657296601,0.08928626596034106
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8658494427074883,0.07279038019514592
label_pericardial_disease_tamponade,108,0.004246284501061571,0.8623146758857094,0.043263548409168566
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.8982663767269905,0.027887288547417448
