target,n_test_pos,pos_rate,roc_auc,pr_auc
sinus_rhythm,18640,0.5888113213507281,0.9591324080659133,0.9588948169621773
sinus_bradycardia,2366,0.07473860441608492,0.9915173413786798,0.8727040873658555
sinus_tachycardia,3350,0.10582177717408472,0.9957226022359323,0.9559812856162571
sinus_arrhythmia,582,0.018384559497109643,0.7850926563325068,0.07028945802812998
atrial_fibrillation,1578,0.049846795337524084,0.980018208072355,0.7988776150965633
atrial_flutter,87,0.0027482073475060807,0.8872649357931107,0.03205361826232677
junctional_rhythm,70,0.0022112013140853522,0.9356407925502807,0.11508008311732626
ventricular_paced_rhythm,118,0.0037274536437438797,0.9964977447884003,0.4849257385752213
right_bundle_branch_block,1193,0.03768518811005465,0.9884216187784838,0.7795042673358996
left_bundle_branch_block,935,0.029535331838140062,0.9758629482887247,0.6526966996022463
left_anterior_fascicular_block,627,0.019806046056164515,0.9899795742248716,0.5600664400633827
left_ventricular_hypertrophy,1469,0.046403639005591184,0.8317622544737344,0.20341297964833527
right_ventricular_hypertrophy,80,0.0025270872160975456,0.8683060455394749,0.07182756093166799
left_atrial_enlargement,429,0.013551505196323088,0.8771464808194667,0.08735042324216796
right_atrial_enlargement,44,0.00138989796885365,0.9416113336573274,0.05924833826413487
axis_deviation,1958,0.06185045961398743,0.9901204616107248,0.8568971416250315
prolonged_qt,1272,0.040180686735950974,0.9919732924326489,0.8614087572477857
pvcs,101,0.0031904476103231513,0.847722232611143,0.021302999655665445
pacs,71,0.0022427899042865716,0.8414826322590772,0.009362531097942562
normal_ecg,3571,0.11280285560855419,0.9660092437611063,0.6888010223050168
borderline_ecg,4639,0.14653946994345643,0.9154702235107854,0.614374899191873
abnormal_ecg,6778,0.21410746438386455,0.9653847549255541,0.9105795749917172
